Model,Accuracy,Precision Macro,Recall Macro,F1 Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Best_Params
IndoBERT,0.9147940074906368,0.8795327510917029,0.8773282730404824,0.8783743217868517,0.9146962530461378,0.9147940074906368,0.9147183157152652,model=indobenchmark/indobert-base-p1; lr=2e-5; batch_size=8; epochs=3; max_length=128
SVM,0.8155430711610487,0.7422458578612109,0.7259414990156269,0.7335388517206699,0.8125475560780806,0.8155430711610487,0.8135632309278886,{'C': 1}
Naive Bayes,0.74812734082397,0.7264503078972725,0.5706210778885198,0.6022343876617805,0.7423928895530021,0.74812734082397,0.7251961103610667,{'alpha': 0.1}
