VideoID,CommentDate,UserName,Comment,Like,ScrapeDate
KqjkU_AQCJE,2026-01-19 02:34:10,@pipingkasdu1550,Jaka sembung bawa golok,0,2026-05-16 10:11:38.100722
KqjkU_AQCJE,2026-01-19 02:34:45,@pipingkasdu1550,Jaka sembung bawa golok,0,2026-05-16 10:11:38.100672
ebkamQER1nM,2025-11-14 00:43:39,@iwandaud9078,"KELANGGKAAN UANG 20 rb, 10 rb, 5rb, akan terjadi...!!!, dipaksa transaksi dengan Q'ris...!!!",0,2026-05-16 10:11:10.048796
SxMdI5sabb0,2025-11-14 00:45:03,@iwandaud9078,"KELANGGKAAN UANG 20 rb, 10 rb, 5rb, akan terjadi...!!!, dipaksa transaksi dengan Q'ris...!!!",0,2026-05-16 10:11:18.368999
PMuEX5Qbmzo,2025-04-25 00:40:01,@pasebanwongagung2426,Keren,0,2026-05-16 10:11:27.583984
PMuEX5Qbmzo,2024-08-13 22:30:25,@AzKaNrelation-wf1pz,Keren,0,2026-05-16 10:11:31.375075
Bn_MTSqW3bE,2022-12-14 04:10:42,@myvivoy219,"Lg cari apk yg fitur tfnya cma ada scanpay n trima qris all payment tanpa ada norek dposit, jg bsa trima n scanpay Rp.1

Mksh",0,2026-05-16 10:11:49.586534
Bn_MTSqW3bE,2022-12-14 04:08:33,@myvivoy219,"Lg cari apk yg fitur tfnya cma ada scanpay n trima qris all payment tanpa ada norek dposit, jg bsa trima n scanpay Rp.1

Mksh",0,2026-05-16 10:11:49.586515
Bn_MTSqW3bE,2022-12-14 04:06:33,@myvivoy219,"Lg cari apk yg fitur tfnya cma ada scanpay n trima qris all payment tanpa ada norek dposit, jg bsa trima n scanpay Rp.1

Mksh",0,2026-05-16 10:11:49.586492
SxMdI5sabb0,2023-02-03 04:51:36,@NgomonginUang,Maksudnya? 🤔,0,2026-05-16 10:11:22.162518
SxMdI5sabb0,2023-02-19 03:40:48,@NgomonginUang,Maksudnya? 🤔,0,2026-05-16 10:11:20.949537
YLq9NVWk23U,2022-12-01 10:49:27,@thunder45bolt39,Mantap,2,2026-05-16 10:11:39.628548
Bn_MTSqW3bE,2022-12-27 06:21:36,@rizkyaretaka8047,Mantap,1,2026-05-16 10:11:45.580863
ebkamQER1nM,2025-11-09 04:19:52,@hendrydunai2719,Mantap,0,2026-05-16 10:11:11.266633
SxMdI5sabb0,2023-02-16 22:49:18,@theglorious1996,Mantap,1,2026-05-16 10:11:20.949563
ebkamQER1nM,2024-12-30 00:26:09,@DeckySuryano,Mantap,0,2026-05-16 10:11:11.266661
gU62EuPDWaY,2026-05-08 05:17:09,@RIZKIPADILAHMABA25,Mantap,0,2026-05-16 10:11:09.655638
PMuEX5Qbmzo,2024-08-14 08:43:39,@urielaja9973,"Masalah utamanya d listrik 😂, klo mokad mampus tu blockchain.",8,2026-05-16 10:11:31.374977
PMuEX5Qbmzo,2024-08-14 08:43:39,@urielaja9973,"Masalah utamanya d listrik 😂, klo mokad mampus tu blockchain.",8,2026-05-16 10:11:27.583967
PMuEX5Qbmzo,2024-08-13 12:32:47,@jefrichannel7071,New World Order,0,2026-05-16 10:11:33.937700
gU62EuPDWaY,2026-05-08 12:33:29,@purnomoaj_,New World Order,0,2026-05-16 10:11:03.380973
2VJpvtiC-hY,2022-12-06 07:08:20,@sheptian69,"Pasti biaya2 admin nya, enak kalau kaya india/cina banyak bonus nya 😆",1,2026-05-16 10:11:49.933333
CQr5wbSc-TI,2022-12-06 07:09:30,@sheptian69,"Pasti biaya2 admin nya, enak kalau kaya india/cina banyak bonus nya 😆",0,2026-05-16 10:11:34.699812
Bn_MTSqW3bE,2022-12-13 23:28:05,@ramadanaljan5348,Pembodohan,0,2026-05-16 10:11:49.586498
KqjkU_AQCJE,2026-01-18 05:50:34,@mclaoly,Pembodohan,0,2026-05-16 10:11:36.592946
wMPGW76Iy9A,2022-12-06 11:48:13,@yobikusmanto1552,Pi Network,0,2026-05-16 10:11:41.514474
mODGGIy9JZE,2025-11-01 15:46:58,@riyantototok2295,Pi Network,0,2026-05-16 10:11:17.874633
